X,Y,Name,CODCOM,CODZONA,<b>Anno / Semestre</b>,<b>Cod. Naz. Comune</b>,<b>Zona OMI</b>,<img src=https://www.geopoi.it/geopoi/geopoi/Immagini/OMI_logo.jpg width=180>
11.3513132905977,44.5205145510833,BOLOGNA - Zona OMI D8,A944,D8,2023 / 2,A944,D8,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3540448295524,44.4685565093032,BOLOGNA - Zona OMI D17,A944,D17,2023 / 2,A944,D17,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.2515094767919,44.5233166889505,BOLOGNA - Zona OMI R1,A944,R1,2023 / 2,A944,R1,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3200927862679,44.4924131693437,BOLOGNA - Zona OMI D21,A944,D21,2023 / 2,A944,D21,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.318787848073,44.5225011469108,BOLOGNA - Zona OMI D9,A944,D9,2023 / 2,A944,D9,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3224537160242,44.4531751139035,BOLOGNA - Zona OMI R4,A944,R4,2023 / 2,A944,R4,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3475055592167,44.4879425094674,BOLOGNA - Zona OMI C6,A944,C6,2023 / 2,A944,C6,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3324919577925,44.4956195768176,BOLOGNA - Zona OMI C9,A944,C9,2023 / 2,A944,C9,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3500383189421,44.4941655407892,BOLOGNA - Zona OMI B7,A944,B7,2023 / 2,A944,B7,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3883535232822,44.5312498785425,BOLOGNA - Zona OMI R3,A944,R3,2023 / 2,A944,R3,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3538315367981,44.4967137919327,BOLOGNA - Zona OMI C4,A944,C4,2023 / 2,A944,C4,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3536095567474,44.4904744586809,BOLOGNA - Zona OMI C5,A944,C5,2023 / 2,A944,C5,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3414933676571,44.4872829761648,BOLOGNA - Zona OMI C7,A944,C7,2023 / 2,A944,C7,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3362292433742,44.4905830598288,BOLOGNA - Zona OMI C8,A944,C8,2023 / 2,A944,C8,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3411748121186,44.500736574224,BOLOGNA - Zona OMI C10,A944,C10,2023 / 2,A944,C10,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3437135147956,44.4962827664193,BOLOGNA - Zona OMI B1,A944,B1,2023 / 2,A944,B1,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3341346846032,44.5005132963365,BOLOGNA - Zona OMI C11,A944,C11,2023 / 2,A944,C11,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3512873566065,44.5007332336971,BOLOGNA - Zona OMI C3,A944,C3,2023 / 2,A944,C3,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3594355192448,44.4940524597505,BOLOGNA - Zona OMI D23,A944,D23,2023 / 2,A944,D23,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3782988437065,44.4616185824029,BOLOGNA - Zona OMI D3,A944,D3,2023 / 2,A944,D3,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3744056943306,44.4844014554003,BOLOGNA - Zona OMI D2,A944,D2,2023 / 2,A944,D2,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3954067980762,44.4821166135709,BOLOGNA - Zona OMI D4,A944,D4,2023 / 2,A944,D4,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3651474248268,44.5114331638238,BOLOGNA - Zona OMI D6,A944,D6,2023 / 2,A944,D6,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3012656497448,44.4921564605883,BOLOGNA - Zona OMI D19,A944,D19,2023 / 2,A944,D19,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.326834836881,44.5399861517969,BOLOGNA - Zona OMI R2,A944,R2,2023 / 2,A944,R2,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3029958926845,44.5034006695635,BOLOGNA - Zona OMI D20,A944,D20,2023 / 2,A944,D20,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.4059399607377,44.5064972458685,BOLOGNA - Zona OMI E1,A944,E1,2023 / 2,A944,E1,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3672633167161,44.5027426228973,BOLOGNA - Zona OMI D5,A944,D5,2023 / 2,A944,D5,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3661815953438,44.4813283536854,BOLOGNA - Zona OMI D24,A944,D24,2023 / 2,A944,D24,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.2811727272657,44.5197945270481,BOLOGNA - Zona OMI E5,A944,E5,2023 / 2,A944,E5,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.327432846539,44.5036282238451,BOLOGNA - Zona OMI D25,A944,D25,2023 / 2,A944,D25,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3416107845898,44.5115763154681,BOLOGNA - Zona OMI D7,A944,D7,2023 / 2,A944,D7,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3509032966189,44.4812129942906,BOLOGNA - Zona OMI D16,A944,D16,2023 / 2,A944,D16,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
11.3537395731699,44.5396360018754,BOLOGNA - Zona OMI D22,A944,D22,2023 / 2,A944,D22,https://www.geopoi.it/geopoi/geopoi/immagini/geopoi_2008_def.jpg
