civ_key;farmacia;indirizzo;zona_di_prossimita;geo_point
564500031000;COMUNALE DON STURZO;VIA DON LUIGI STURZO, 31;BARCA;44.489051964110864, 11.298202072911506
21400025800B;COMUNALE EMILIA PONENTE;VIA EMILIA PONENTE, 258/B;CASTELDEBOLE - PONTELUNGO;44.511328463504356, 11.28933841838275
593500028000;COMUNALE TRIUMVIRATO;VIA DEL TRIUMVIRATO, 28;BIRRA - BARGELLINO - LAVINO;44.51908153836798, 11.293790178490461
351000147000;DEL BORGO;VIA MARCO EMILIO LEPIDO, 147;BORGO PANIGALE;44.51862456096753, 11.272082558864192
214000156000;DEL RENO;VIA EMILIA PONENTE, 156;SANTA VIOLA;44.5086261932607, 11.297284885551973
414500014000;VILLAGGIO PANIGALE;VIA NORMANDIA, 14;BORGO PANIGALE;44.52289512858616, 11.263879929739666
575000016000;CARRACCI;VIA ALESSANDRO TIARINI, 16;BOLOGNINA;44.50855593049894, 11.342882208882143
048000121000;COMUNALE BARBIERI;VIA GIOVANNI FRANCESCO BARBIERI, 121;BOLOGNINA;44.51699623163838, 11.338966405999514
22400015300A;COMUNALE FERRARESE;VIA FERRARESE, 153/A;BOLOGNINA;44.51450680613589, 11.352998039816592
56180000500A;COMUNALE STENDHAL;VIA STENDHAL, 5/A;CORTICELLA - DOZZA;44.53230177164685, 11.354285547026715
352500003000;COOPERATIVA;VIA MARCO POLO, 3;BEVERARA;44.51379413278032, 11.328862091375365
22400006600D;DI CASARALTA;VIA FERRARESE, 66/D;BOLOGNINA;44.516494060245556, 11.354554533223006
22400001200A;GUANDALINI;VIA FERRARESE, 12/A;BOLOGNINA;44.51183251428486, 11.349023970741793
47300009500F;BERTELLI ALLA FUNIVIA;VIA PORRETTANA, 95/F;SARAGOZZA - SAN LUCA;44.49153069702023, 11.305081134449816
214000024000;BUSACCHI;VIA EMILIA PONENTE, 24;SAFFI;44.504289278956875, 11.312623705561068
529500071000;DA PORTA SARAGOZZA;VIA SARAGOZZA, 71;MALPIGHI;44.49042259707527, 11.331138360513462
056000018000;DELL`IMMACOLATA;VIA MARIO BASTIA, 18;SARAGOZZA - SAN LUCA;44.49176849349839, 11.315804056363314
532000011000;DELLA REGINA;VIA NAZARIO SAURO, 11;MALPIGHI;44.49702611224944, 11.339470609629034
171500001000;S. PAOLO;VIA COLLEGIO DI SPAGNA, 1;MALPIGHI;44.49131903917077, 11.33969619619861
05450000600H;SPERANZA;VIA UGO BASSI, 6/H;MALPIGHI;44.49521357321699, 11.339849032174191
18000008400B;STADIO;VIA ANDREA COSTA, 84/B;SARAGOZZA - SAN LUCA;44.49522113899708, 11.319762377869367
62000000200D;DALLE DUE TORRI;VIA SAN VITALE, 2/D;IRNERIO;44.49450495854858, 11.346992181433599
04900000400D;DEI PINI;VIA AGOSTINO BARELLI, 4/D;CROCE DEL BIACCO - ROVERI;44.49526705028068, 11.400413287764271
196300026000;DEL PILASTRO;VIA GRAZIA DELEDDA, 26;SAN DONATO NUOVO;44.509917878546595, 11.395979909840786
07000009900C;DELLA CIRENAICA;VIA GIUSEPPE BENTIVOGLI, 99/C;CIRENAICA - MASSARENTI - SCANDELLARA;44.497147151945455, 11.364309906640619
35750000100A;TOSCHI;VIA MARSALA, 1/A;IRNERIO;44.49753849042918, 11.343573994644146
017000014000;OBERDAN;VIA ALTABELLA, 14;IRNERIO;44.49523964731456, 11.345286591231545
368000108000;S. ANTONIO;VIA GIUSEPPE MASSARENTI, 108;CIRENAICA - MASSARENTI - SCANDELLARA;44.492418281964056, 11.365122694310065
205000158000;S. DONNINO;VIA SAN DONATO, 158;SAN DONATO VECCHIO;44.50830844945665, 11.377296518316522
220000019000;ALBERANI;VIA LUIGI CARLO FARINI, 19;GALVANI;44.491408599439914, 11.346700357197838
333500039000;ANTICA FARMACIA DEI SERVI;STRADA MAGGIORE, 39;GALVANI;44.49221098954275, 11.351478198255993
147000053000;CASTIGLIONE;VIA CASTIGLIONE, 53;GALVANI;44.487349825199296, 11.34804154821639
033000027000;COMUNALE ARNO;VIA ARNO, 27;PONTEVECCHIO - MAZZINI;44.47396837426171, 11.387929838225208
58600003800P;COMUNALE TOSCANA;VIA TOSCANA, 38/P;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.466285632703126, 11.371031969728602
561000038000;DEL CORSO;VIA SANTO STEFANO, 38;GALVANI;44.490251313501055, 11.350165160211171
213500146000;EMILIA;VIA EMILIA LEVANTE, 146;PONTEVECCHIO - MAZZINI;44.48011831227491, 11.383660766970591
188500032000;FERRARI;VIA GIUSEPPE DAGNINI, 32;MURRI;44.48044641431203, 11.369913856832161
373000095000;MAZZINI;VIA GIUSEPPE MAZZINI, 95;MURRI;44.485365313542516, 11.369467716294732
586000121020;NUOVA S. RUFFILLO;VIA TOSCANA, 121/2;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.45643596423798, 11.369014480186376
213500029000;PONTEVECCHIO;VIA EMILIA LEVANTE, 29;PONTEVECCHIO - MAZZINI;44.4823750305494, 11.37712909972636
258000001000;S. DOMENICO;VIA GIUSEPPE GARIBALDI, 1;GALVANI;44.490651611201585, 11.343524454822083
037500050000;SACCHETTI;VIA MASSIMO D'AZEGLIO, 50;GALVANI;44.48991689071394, 11.341128005003505
586000058000;SAN RUFFILLO;VIA TOSCANA, 58;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.46274611269087, 11.370969032199012
09400000600C;SIEPELUNGA;VIA ADELAIDE BORGHI MAMO, 6/C;MURRI;44.4774734039182, 11.36077759131028
561000082000;SS. TRINITA`;VIA SANTO STEFANO, 82;GALVANI;44.48763531420094, 11.35279280644495
037500088000;D'AZEGLIO;VIA MASSIMO D'AZEGLIO, 88;GALVANI;44.487289925030126, 11.339744879766764
058000028000;COMUNALE BATTINDARNO;VIA BATTINDARNO, 28;SANTA VIOLA;44.50582724111065, 11.302028776971122
18730000100A;COMUNALE CROCIONI;VIA GIOVANNI CROCIONI, 1/A;BARCA;44.492535517789264, 11.301024682539154
198800001000;COMUNALE DE NICOLA;VIA ENRICO DE NICOLA, 1;CASTELDEBOLE - PONTELUNGO;44.503402236699614, 11.277922126199751
09000000900B;DELLA BARCA;PIAZZA CLODOVEO BONAZZI, 9/B;BARCA;44.495786358055604, 11.293129966951227
351000045000;DELLA SCALA;VIA MARCO EMILIO LEPIDO, 45;BORGO PANIGALE;44.5173563729408, 11.275773223094829
351000222020;LAVINO DI MEZZO;VIA MARCO EMILIO LEPIDO, 222/2;BIRRA - BARGELLINO - LAVINO;44.53243028731928, 11.231905731439051
214000072020;S. VIOLA;VIA EMILIA PONENTE, 72/2;SANTA VIOLA;44.50587900041608, 11.305827511546562
58100000400A;SANT`ANDREA ALLA BARCA;VIA NICCOLO' TOMMASEO, 4/A;BARCA;44.49683089713739, 11.285908842339476
371000029000;AL SACRO CUORE;VIA GIACOMO MATTEOTTI, 29;BOLOGNINA;44.50842946863214, 11.346671782072404
179500068000;BETTINI;VIA DI CORTICELLA, 68;BOLOGNINA;44.5154763088434, 11.34748008377358
230500026000;DEL NAVILE;VIA ARISTOTILE FIORAVANTI, 26;BOLOGNINA;44.51334197982611, 11.341486106082263
069500037000;DI CORTICELLA;VIA GENUZIO BENTINI, 37;CORTICELLA - DOZZA;44.54671108315774, 11.356629851327558
179500184030;GRIMALDI;VIA DI CORTICELLA, 184/3;CORTICELLA - DOZZA;44.53192616794331, 11.353214873390485
35250002200A;MARCO POLO;VIA MARCO POLO, 22/A;BEVERARA;44.51892898907833, 11.327520871803438
63100018400A;SAN MARTINO;VIA FRANCESCO ZANARDI, 184/A;BERTALIA - NOCE;44.52270281327775, 11.319685084801097
307000052000;AL PALAZZO DELLO SPORT;VIA DELLE LAME, 52;MARCONI;44.49874421145902, 11.335293364989797
333000006000;COMUNALE CENTRO;PIAZZA MAGGIORE, 6;MALPIGHI;44.49393871919182, 11.342394585904486
524000063000;CROCE BIANCA;VIA AURELIO SAFFI, 63;SAFFI;44.50089065175266, 11.323298532573578
52950025400A;DEL MELONCELLO s.n.c.;VIA SARAGOZZA, 254/A;SARAGOZZA - SAN LUCA;44.49000388614493, 11.311461204244914
35200002600I;DEL PORTO;VIA GUGLIELMO MARCONI, 26/I;MARCONI;44.49869131330417, 11.338130673080785
529500105000;S. GIUSEPPE;VIA SARAGOZZA, 105;SARAGOZZA - SAN LUCA;44.49037091541447, 11.32529879390441
054500025000;S. LORENZO;VIA UGO BASSI, 25;MALPIGHI;44.495780834337694, 11.338091746017154
054500001000;ZARRI;VIA UGO BASSI, 1;MALPIGHI;44.49505864724821, 11.342187805964734
040000052020;COMUNALE AZZURRA;VIA AZZURRA, 52/2;CIRENAICA - MASSARENTI - SCANDELLARA;44.48766449024433, 11.373983203021268
205000099000;COMUNALE S. DONATO;VIA SAN DONATO, 99;SAN DONATO VECCHIO;44.50550317203644, 11.37239542687309
614800033000;DEL PIANETA;GALLERIA VIALARGA, 33;CIRENAICA - MASSARENTI - SCANDELLARA;44.49816915645725, 11.3907923261393
211500020000;DUSE;VIA ELEONORA DUSE, 20;SAN DONATO VECCHIO;44.50253526635702, 11.370299778698044
304000020000;IRNERIO;VIA IRNERIO, 20;IRNERIO;44.499884071302645, 11.350160647039873
368000223050;NUOVA S. PIETRO;VIA GIUSEPPE MASSARENTI, 223/5;CIRENAICA - MASSARENTI - SCANDELLARA;44.493105107147095, 11.390293231801003
205000066020;S. EGIDIO;VIA SAN DONATO, 66/2;SAN DONATO VECCHIO;44.50322742542179, 11.363077144364736
44050000100A;BELLESSERE;VIA DEL PARCO, 1/A;CIRENAICA - MASSARENTI - SCANDELLARA;44.492994274619775, 11.377151494315477
02100003200M;VITTORIA;VIA ISABELLA ANDREINI, 32/M;SAN DONATO VECCHIO;44.50075845417481, 11.373673158136059
056500025000;COMUNALE DELLA BATTAGLIA;VIA DELLA BATTAGLIA, 25;LUNGO SAVENA;44.46538416964196, 11.377479293494558
223200035000;COMUNALE FELSINA;VIALE FELSINA, 35;FOSSOLO - DUE MADONNE;44.48746617560314, 11.378078015214161
40450013100F;COMUNALE MURRI;VIA AUGUSTO MURRI, 131/F;MURRI;44.47728142226571, 11.366085491884698
02800000200A;DEL PAVAGLIONE;VIA DELL'ARCHIGINNASIO, 2/A;GALVANI;44.49297084672737, 11.343666967151302
404500016000;DELLO STERLINO;VIA AUGUSTO MURRI, 16;MURRI;44.482894368965866, 11.35914599306447
56500000200B;DUE MADONNE;VIA GAETANO TACCONI, 2/B;FOSSOLO - DUE MADONNE;44.475556200805066, 11.396314476227614
40450019100C;S. SILVERIO DELLA CHIESANUOVA;VIA AUGUSTO MURRI, 191/C;MURRI;44.473467645957285, 11.368675282527413
422000017000;SS. ANNUNZIATA;VIA DEGLI OREFICI, 17;GALVANI;44.49390189040956, 11.344891795185964
42600001400F;DR MAX BOLOGNA ORTI;VIA DEGLI ORTI, 14/F;MURRI;44.47843206433817, 11.367762366868861
593500084000;AEROPORTO;VIA DEL TRIUMVIRATO, 84;BIRRA - BARGELLINO - LAVINO;44.529556380704015, 11.294669121090637
51860000200C;DE PISIS;VIA ANGELO RUFFINI, 2/C;BARCA;44.50355884965662, 11.294189670012534
058000139000;S. LUCIA;VIA BATTINDARNO, 139;BARCA;44.49957099240369, 11.295403228007418
179500180000;IPPODROMO ARCOVEGGIO;VIA DI CORTICELLA, 180;CORTICELLA - DOZZA;44.5258052435058, 11.349490684710629
224000158030;PARCO NORD;VIA FERRARESE, 158/3;CORTICELLA - DOZZA;44.528471063884545, 11.36591803533282
069500011000;SANTA ESTER;VIA GENUZIO BENTINI, 11;CORTICELLA - DOZZA;44.54339222176994, 11.356275919680842
622500019000;AL VELODROMO;VIA VITTORIO VENETO, 19;SAFFI;44.4990233783524, 11.320067487039015
037500015000;BEATA VERGINE DI S. LUCA;VIA MASSIMO D'AZEGLIO, 15;MALPIGHI;44.49252753048074, 11.341893579751618
180000156020;COMUNALE ANDREA COSTA;VIA ANDREA COSTA, 156/2;SARAGOZZA - SAN LUCA;44.493714102041345, 11.312772635484484
362500014000;COMUNALE MARZABOTTO;VIA MARZABOTTO, 14;SAFFI;44.501045103476784, 11.31147074353236
38600000702B;DEI MILLE;VIA DEI MILLE, 7/2B;MARCONI;44.50158580056329, 11.343222170020933
46000002002A;DELLA STAZIONE CENTRALE;VIALE PIETRO PIETRAMELLARA, 20/2A;MARCONI;44.50547390940444, 11.342091789870713
18000004700A;LODI;VIA ANDREA COSTA, 47/A;SARAGOZZA - SAN LUCA;44.49526090096246, 11.324659137793411
631000008000;PORTA LAME;VIA FRANCESCO ZANARDI, 8;SAFFI;44.50386563675739, 11.332205344505999
388000001000;S. ANNA;VIA DON GIOVANNI MINZONI, 1;MARCONI;44.50248917642788, 11.339046781339144
301500054000;S. BENEDETTO;VIA DELL'INDIPENDENZA, 54;MARCONI;44.50011730739617, 11.34393335988298
30450000200A;S. ISAIA;VIA SANT'ISAIA, 2/A;MALPIGHI;44.493199586569595, 11.335586670537552
474500002000;S. SALVATORE;VIA PORTA NOVA, 2;MALPIGHI;44.494118263887245, 11.338487598263672
221000089000;TOSCHI;VIA SAN FELICE, 89;MARCONI;44.497777473051926, 11.331621690492264
620000058000;AICARDI;VIA SAN VITALE, 58;IRNERIO;44.494251799662536, 11.352239781051782
50100000600A;CAMPO DEL MERCATO;VIA AUGUSTO RIGHI, 6/A;IRNERIO;44.49928032122337, 11.344513372617607
580700029000;COMUNALE REPUBBLICA;VIA CLETO TOMBA, 29;SAN DONATO VECCHIO;44.505871175192176, 11.36117513944881
378500005000;DAL CONTAVALLI;VIA MENTANA, 5;IRNERIO;44.49731658016325, 11.347584519266277
46430002200A;DEL SOLE s.n.c.;VIA LUIGI PIRANDELLO, 22/A;SAN DONATO NUOVO;44.51193144644662, 11.390284980494789
368000254000;DELLA PROVVIDENZA;VIA GIUSEPPE MASSARENTI, 254;CIRENAICA - MASSARENTI - SCANDELLARA;44.49345057008985, 11.374516909125367
620000126000;DI PORTA S.VITALE;VIA SAN VITALE, 126;IRNERIO;44.49412823292648, 11.356418522101684
36450000700A;PORTA MASCARELLA;PIAZZA DI PORTA MASCARELLA, 7/A;IRNERIO;44.50164813284622, 11.352911780233024
25650000600B;S. GIORGIO;VIA FERRUCCIO GARAVAGLIA, 6/B;SAN DONATO VECCHIO;44.50561255065234, 11.365771966268992
368000179000;S. RITA;VIA GIUSEPPE MASSARENTI, 179;CIRENAICA - MASSARENTI - SCANDELLARA;44.49326156646464, 11.382943542518385
14800001500E;DR MAX DI PORTA CASTIGLIONE;PIAZZA DI PORTA CASTIGLIONE, 15/E;OSSERVANZA - PADERNO;44.48518115978068, 11.348294767129246
06200003600D;CHILLEMI;VIA BELLARIA, 36/D;PONTEVECCHIO - MAZZINI;44.476011551449666, 11.387550368381703
153500002000;COMUNALE CAVAZZONI;VIA FRANCESCO CAVAZZONI, 2;LUNGO SAVENA;44.47011537391448, 11.38176949067067
37300000900A;DEGLI ALEMANNI;VIA GIUSEPPE MAZZINI, 9/A;MURRI;44.48946449955494, 11.358636094297674
321800005000;FOSSOLO 2 - CENTRO COMM.LE;VIALE ABRAHAM LINCOLN, 5;FOSSOLO - DUE MADONNE;44.48163038082819, 11.389799442539513
42600006800B;S. MARIA DELLE GRAZIE;VIA DEGLI ORTI, 68/B;PONTEVECCHIO - MAZZINI;44.47570755077385, 11.37808985402914
34200002500B;SAN MAMOLO;VIA SAN MAMOLO, 25/B;OSSERVANZA - PADERNO;44.48564031224141, 11.339370342372993
59150000100A;TRENTO TRIESTE;PIAZZA TRENTO E TRIESTE, 1/A;MURRI;44.48771876584897, 11.362443680825017
531000001000;ZINCONE;VIA SARDEGNA, 1;PONTEVECCHIO - MAZZINI;44.476355629975, 11.383303486067962
