codice;denominazione;tipologia;numero_posti;tariffa;zona_di_prossimita;geo_point
1;Staveco;struttura;180;pagamento;OSSERVANZA - PADERNO;44.48533080244101, 11.344315300135683
2;Vasco de gama;raso;200;gratuito;BEVERARA;44.52222080245814, 11.326680000135978
3;Della Pietra;struttura;48;pertinenziale;CASTELDEBOLE - PONTELUNGO;44.5091345024403, 11.284168100134355
4;Foscolo;struttura;79;abbonamento;MALPIGHI;44.491991702444004, 11.331520000135104
5;Ex Panigal;struttura;76;pagamento;SANTA VIOLA;44.508702002452026, 11.29634230013355
6;Sant'Orsola;struttura;450;pagamento;CIRENAICA - MASSARENTI - SCANDELLARA;44.48954340244344, 11.363178000136855
7;Nuovo Parcheggio Stazione;struttura;900;pagamento;BOLOGNINA;44.50891870245159, 11.339430200135917
8;Lercaro;raso;240;gratuito;MURRI;44.479059902438706, 11.37246000013728
9;Casanova;raso;40;gratuito;MURRI;44.47903970243865, 11.37590670013745
10;Azzarita;struttura;207;pertinenziale;MARCONI;44.49987650244753, 11.332605000135338
11;Allende;struttura;55;pertinenziale;FOSSOLO - DUE MADONNE;44.48428170244044, 11.387253700138091
12;Vetulonia;struttura;57;pertinenziale;FOSSOLO - DUE MADONNE;44.48651060244141, 11.378301900137664
13;Metropark;struttura;683;pagamento;BOLOGNINA;44.507403002450936, 11.340386200135967
14;Fiera Parco Nord;struttura;750;pagamento;CORTICELLA - DOZZA;44.52351240245811, 11.366898900137837
15;Battindarno;raso;163;gratuito;BARCA;44.50078670244755, 11.296133000133148
16;Piazza della pace;struttura;234;abbonamento;SARAGOZZA - SAN LUCA;44.49251150244431, 11.311382400133953
17;Stiassi;struttura;100;abbonamento;BORGO PANIGALE;44.5176622024557, 11.277827500132483
18;Piazza otto agosto;struttura;700;pagamento;IRNERIO;44.499863902447466, 11.34524780013605
19;Riva Reno;struttura;543;pagamento;MARCONI;44.50129190244819, 11.336175500135539
20;Quick policlinico;struttura;500;pagamento;CIRENAICA - MASSARENTI - SCANDELLARA;44.494601402438164, 11.360169900136938
21;Ghisello;raso;115;gratuito;BARCA;44.493482002446406, 11.30319670013175
22;Ex Zucca;struttura;40;pertinenziale;CORTICELLA - DOZZA;44.524212902458466, 11.353507900137117
23;Santa Viola;struttura;202;abbonamento;SANTA VIOLA;44.506133402450445, 11.304346800133763
24;Minganti;struttura;320;pagamento;BOLOGNINA;44.51154510245277, 11.351882000136705
25;Costituzione;struttura;369;pagamento;SAN DONATO VECCHIO;44.51145840245269, 11.359917300137187
26;Ex Fiat;raso;123;gratuito;CIRENAICA - MASSARENTI - SCANDELLARA;44.48431470244042, 11.375622800137439
27;Finelli;struttura;72;pertinenziale;IRNERIO;44.50207790244824, 11.349079600136328
28;Cividali;struttura;54;pertinenziale;SAFFI;44.50093615636355, 11.308103034366793
29;Marco Polo;struttura;99;abbonamento;BEVERARA;44.51252620245325, 11.330153400135528
30;Sferisterio;raso;74;righe blu;IRNERIO;44.501067002448025, 11.346399800136133
31;Certosa Nord;raso;325;gratuito;BARCA;44.4976096024466, 11.310002400133948
32;Bitone;struttura;160;abbonamento;PONTEVECCHIO - MAZZINI;44.48059010243871, 11.382978000137783
33;Autostazione;struttura;280;pagamento;IRNERIO;44.50394450244921, 11.347735500136306
34;Prati di caprara;raso;180;righe blu;SAFFI;44.5067706024507, 11.310522400134182
35;Fiera Manifattura;raso;253;pagamento;CORTICELLA - DOZZA;44.52257000245765, 11.361042000137502
36;Fiera Dozza;raso;297;pagamento;CORTICELLA - DOZZA;44.52644580245939, 11.365021400137824
37;Stadio Falchi;raso;120;gratuito;LUNGO SAVENA;44.462500302437896, 11.380150700138106
38;Antistadio;raso;280;pagamento;SARAGOZZA - SAN LUCA;44.4936168024448, 11.307575400133759
39;Borgo masini;struttura;144;abbonamento;IRNERIO;44.503684802448774, 11.352421300136573
40;Tanari;struttura;450;pagamento;SAFFI;44.50595350245029, 11.329112600135243
41;Michelino;struttura;5500;pagamento;SAN DONATO VECCHIO;44.515036102454246, 11.370693200137897
42;Carducci;struttura;166;pertinenziale;GALVANI;44.487820202442634, 11.357265700136445
43;D'Azeglio;struttura;84;pertinenziale;MALPIGHI;44.488738602442545, 11.3398914001355
44;Belmeloro;struttura;83;abbonamento;IRNERIO;44.49614360244624, 11.356043800136606